-7247,18525,4,-113,341961,,,,,,
-8099,1447,6,-54,-101115,,,,,,
-8940,-16094,9,7,-437146,,,,,,
-9503,-27410,11,51,-535541,,,,,,
-9732,-31886,10,70,-476840,,,,,,
-9617,-29822,9,62,-309925,,,,,,
-9407,-21788,9,33,-52479,,,,,,
-9205,-12596,8,10,145653,,,,,,
-9076,-4602,7,-6,262788,,,,,,
-9027,52,7,-16,267385,,,,,,
-8962,1806,7,-19,223058,,,,,,
-8960,2193,7,-12,108020,,,,,,
-8953,1638,7,-6,63651,,,,,,
-8919,1272,7,1,35999,,,,,,
-8772,1639,7,4,29472,,,,,,
-8687,2779,8,5,42910,,,,,,
-8496,4374,8,7,58776,,,,,,
-8189,6174,8,8,73295,,,,,,
-7760,9553,7,3,111759,,,,,,
-7194,14132,6,-5,165448,,,,,,
-6536,19925,6,-19,219796,,,,,,
-5866,25882,4,-31,264432,,,,,,
-5223,30248,2,-41,266170,,,,,,
-4526,34088,2,-54,251277,,,,,,
-3795,36926,1,-59,232830,,,,,,
-3174,38651,1,-55,212823,,,,,,
-2668,40013,0,-51,185767,,,,,,
-2151,39393,0,-49,111947,,,,,,
-1528,37692,0,-43,23239,,,,,,
-1488,37492,0,-42,34157,,,,,,
-1441,37776,0,-42,33536,,,,,,
-1358,38093,0,-41,38168,,,,,,
-1314,38359,0,-43,44494,,,,,,
-1268,37122,0,-39,34330,,,,,,
-1180,37369,0,-38,41843,,,,,,
-1133,37785,0,-37,32383,,,,,,
-1037,38097,0,-37,40766,,,,,,
-992,38313,0,-36,39902,,,,,,
-951,38509,0,-35,39185,,,,,,
-850,38876,-1,-36,41293,,,,,,
-805,39080,-1,-36,58187,,,,,,
-708,39628,-1,-35,68069,,,,,,
-659,40065,-1,-35,68473,,,,,,
-610,40502,-1,-35,74546,,,,,,
-507,41126,-2,-36,87776,,,,,,
-461,40004,-2,-36,73378,,,,,,
-402,40374,-2,-37,77690,,,,,,
-205,41524,-2,-39,88901,,,,,,
766,42761,-3,-45,73448,,,,,,
1804,44172,-5,-52,79776,,,,,,
2850,48840,-8,-63,138696,,,,,,
3870,54195,-9,-82,201256,,,,,,
4538,56320,-10,-92,171497,,,,,,
4927,54940,-10,-87,105406,,,,,,
4826,47646,-9,-71,-58139,,,,,,
4397,35722,-7,-39,-273573,,,,,,
3779,18991,-4,8,-503293,,,,,,
3390,4191,-2,51,-651456,,,,,,
3065,-6958,0,87,-659558,,,,,,
3124,-11248,0,100,-537129,,,,,,
3671,-8637,0,86,-333702,,,,,,
4690,1430,-3,48,-44038,,,,,,
5733,15676,-5,0,246657,,,,,,
6538,30342,-7,-45,454582,,,,,,
7029,38209,-9,-68,483469,,,,,,
7275,38904,-9,-74,336535,,,,,,
7077,33061,-7,-62,126639,,,,,,
6524,22372,-5,-30,-121172,,,,,,
5854,7625,-2,14,-358600,,,,,,
5516,-4991,-1,51,-507281,,,,,,
5212,-12942,0,76,-521585,,,,,,
5337,-15061,0,80,-403726,,,,,,
5870,-10825,-1,63,-206779,,,,,,
6524,-831,-3,25,51150,,,,,,
7078,10049,-4,-10,250128,,,,,,
7411,18320,-5,-37,331694,,,,,,
7553,20987,-5,-46,295261,,,,,,
7560,21068,-5,-46,281096,,,,,,
7565,21079,-5,-46,290014,,,,,,
7567,21428,-5,-47,277701,,,,,,
7563,21569,-5,-48,270101,,,,,,
